ID,Name,Age,Salary,Score,City,Email
80,Simran,26,2127.142857,0,Delhi,simran80@yahoo.com
82,Rohit,30,8882.225,90,Varanasi,rohit82@outlook.com
83,Arjun,33.73333333,8882.225,0,Jaipur,arjun83@outlook.com
84,Riya,37,2127.142857,52,Mumbai,riya84@outlook.com
85,Pooja,35,0,0,Jaipur,pooja85@gmail.com
86,Pooja,33.73333333,0,90,Varanasi,pooja86@yahoo.com
87,Simran,33.73333333,2127.142857,52,Mumbai,simran87@outlook.com
88,Sneha,33.73333333,2127.142857,0,Delhi,sneha88@outlook.com
89,Riya,33.73333333,2127.142857,52,Jaipur,riya89@gmail.com
90,Sneha,33.73333333,8882.225,52,Lucknow,sneha90@gmail.com
91,Pooja,37,2127.142857,52,Pune,pooja91@yahoo.com
92,Neha,39,0,52,Mumbai,neha92@gmail.com
93,Vikas,33.73333333,0,0,Lucknow,vikas93@gmail.com
94,Karan,35,0,88,Delhi,karan94@yahoo.com
95,Arjun,33.73333333,0,52,Jaipur,arjun95@outlook.com
96,Neha,36,53990,82,Jaipur,neha96@yahoo.com
97,Vikas,36,2127.142857,98,Jaipur,vikas97@outlook.com
98,Pooja,26,2127.142857,70,Varanasi,pooja98@outlook.com
101,Riya,40,2127.142857,52,Lucknow,riya101@gmail.com
102,Karan,39,2127.142857,79,Delhi,karan102@yahoo.com
103,Riya,33.73333333,0,52,Delhi,riya103@gmail.com
104,Rohit,33.73333333,8882.225,80,Mumbai,rohit104@gmail.com
105,Simran,39,0,60,Lucknow,simran105@gmail.com
106,Vikas,33.73333333,0,82,Mumbai,vikas106@yahoo.com
107,Arjun,38,8882.225,52,Mumbai,arjun107@outlook.com
108,Riya,33.73333333,8882.225,0,Mumbai,riya108@yahoo.com
109,Simran,33.73333333,2127.142857,52,Mumbai,simran109@yahoo.com
110,Arjun,28,0,72,Delhi,arjun110@gmail.com
111,Sneha,40,2127.142857,0,Varanasi,sneha111@outlook.com
112,Pooja,33.73333333,2127.142857,0,Mumbai,pooja112@gmail.com
114,Vikas,38,2127.142857,56,Delhi,vikas114@gmail.com
115,Aman,39,2127.142857,52,Pune,aman115@gmail.com
116,Sneha,41,2127.142857,87,Pune,sneha116@gmail.com
117,Pooja,37,0,0,Jaipur,pooja117@outlook.com
118,Aman,45,8882.225,52,Jaipur,aman118@gmail.com
119,Arjun,33.73333333,29113,52,Varanasi,arjun119@gmail.com
120,Rohit,33.73333333,2127.142857,0,Pune,rohit120@gmail.com
121,Karan,32,2127.142857,75,Varanasi,karan121@outlook.com
122,Rohit,32,2127.142857,0,Varanasi,rohit122@outlook.com
123,Riya,33.73333333,8882.225,68,Lucknow,riya123@outlook.com
124,Sneha,32,2127.142857,0,Lucknow,sneha124@outlook.com
125,Neha,36,2127.142857,52,Delhi,neha125@gmail.com
126,Aman,33.73333333,2127.142857,52,Lucknow,aman126@gmail.com
127,Arjun,33.73333333,2127.142857,52,Varanasi,arjun127@outlook.com
128,Aman,33.73333333,28389,0,Pune,aman128@gmail.com
129,Neha,33.73333333,0,81,Delhi,neha129@outlook.com
130,Arjun,33.73333333,2127.142857,78,Pune,arjun130@outlook.com
131,Vikas,33.73333333,2127.142857,94,Delhi,vikas131@gmail.com
132,Riya,33.73333333,2127.142857,0,Delhi,riya132@yahoo.com
133,Pooja,36,8882.225,64,Delhi,pooja133@gmail.com
134,Arjun,31,8882.225,86,Varanasi,arjun134@yahoo.com
135,Aman,45,2127.142857,65,Jaipur,aman135@outlook.com
136,Pooja,33.73333333,0,0,Delhi,pooja136@outlook.com
137,Simran,32,2127.142857,0,Delhi,simran137@gmail.com
138,Rohit,33.73333333,2127.142857,79,Lucknow,rohit138@yahoo.com
139,Aman,39,0,52,Jaipur,aman139@yahoo.com
140,Sneha,33.73333333,8882.225,84,Pune,sneha140@yahoo.com
141,Neha,20,8882.225,0,Varanasi,neha141@yahoo.com
142,Sneha,33.73333333,2127.142857,0,Delhi,sneha142@outlook.com
143,Karan,33.73333333,0,96,Lucknow,karan143@outlook.com
144,Aman,33.73333333,0,0,Delhi,aman144@yahoo.com
145,Rohit,33.73333333,2127.142857,99,Varanasi,rohit145@yahoo.com
146,Aman,33.73333333,2127.142857,52,Varanasi,aman146@yahoo.com
147,Pooja,33.73333333,2127.142857,52,Mumbai,pooja147@yahoo.com
148,Aman,45,0,0,Pune,aman148@gmail.com
149,Neha,44,2127.142857,52,Varanasi,neha149@gmail.com
150,Vikas,40,2127.142857,52,Mumbai,vikas150@gmail.com
